latitude,longitude,facility_type,category,stack_height,emission_weight,source,name
28.5688144,77.247819,industry,Captive_Power,50.0,5,Delhi,
28.567316599999995,77.2483694,industry,Captive_Power,50.0,5,Delhi,
28.5675281,77.2489358,industry,Captive_Power,50.0,5,Delhi,
28.565982200000004,77.247256,industry,Captive_Power,50.0,5,Delhi,
28.566942500000003,77.2448538,industry,Captive_Power,50.0,5,Delhi,
28.5663687,77.2445579,industry,Captive_Power,50.0,5,Delhi,
28.5656669,77.2448325,industry,Captive_Power,50.0,5,Delhi,
28.5658017,77.2433005,industry,Captive_Power,50.0,5,Delhi,
28.5664848,77.2431515,industry,Captive_Power,50.0,5,Delhi,
28.5713361,77.2393131,industry,Captive_Power,50.0,5,Delhi,
28.5705684,77.2394218,industry,Captive_Power,50.0,5,Delhi,
28.6219848,77.2176652,industry,Captive_Power,50.0,5,Delhi,
28.6108678,77.221011,industry,Captive_Power,50.0,5,Delhi,
28.6119509,77.212771,industry,Captive_Power,50.0,5,Delhi,
28.6068856,77.2225723,industry,Captive_Power,50.0,5,Delhi,
28.6046599,77.2208546,industry,Captive_Power,50.0,5,Delhi,
28.606574,77.2129653,industry,Captive_Power,50.0,5,Delhi,
28.661804100000005,77.2355544,industry,Captive_Power,50.0,5,Delhi,
28.6640301,77.2325419,industry,Captive_Power,50.0,5,Delhi,
28.6650046,77.2317107,industry,Captive_Power,50.0,5,Delhi,
28.6296149,77.2134391,industry,Captive_Power,50.0,5,Delhi,
28.656235299999995,77.2234461,industry,Captive_Power,50.0,5,Delhi,
28.686105,77.2119835,industry,Captive_Power,50.0,5,Delhi,
28.6236193,77.2910357,industry,Light_Industry,30.0,5,Delhi,Servotron
28.6224327,77.2899211,industry,Captive_Power,50.0,5,Delhi,
28.7140702,77.1720676,industry,Light_Industry,30.0,5,Delhi,Shershah Cold Storage
28.6729909,77.2421004,industry,Captive_Power,50.0,5,Delhi,
28.672513700000003,77.2428909,industry,Captive_Power,50.0,5,Delhi,
28.673252299999994,77.2449973,industry,Captive_Power,50.0,5,Delhi,
28.70000674116061,77.16685849675612,industry,Light_Industry,30.0,5,Delhi,Wazirpur Industrial Area
28.53644150929241,77.27464435526662,industry,Light_Industry,30.0,5,Delhi,Okhla Phase - II
28.52442820155852,77.2796210371516,industry,Light_Industry,30.0,5,Delhi,Okhla Phase - I
28.642113604734053,77.13873096875135,industry,Light_Industry,30.0,5,Delhi,Ware Housing Scheme Block 2
28.635390153538147,77.13345661725911,industry,Light_Industry,30.0,5,Delhi,Ware Housing Scheme Block 1
28.65039761902248,77.14619509218439,industry,Light_Industry,30.0,5,Delhi,Kirti Nagar Indl Area
28.645698183866426,77.14217079141416,industry,Light_Industry,30.0,5,Delhi,Ware Housing Scheme Furniture Block
28.644380404375948,77.14597694917924,industry,Light_Industry,30.0,5,Delhi,Naraina Indl Area - II
28.62922217152522,77.12663259873554,industry,Light_Industry,30.0,5,Delhi,Mayapuri Industrial Area 1
28.63243782569701,77.13664173457565,industry,Light_Industry,30.0,5,Delhi,Naraina Indl Area - I
28.63935555938776,77.14161753008418,industry,Light_Industry,30.0,5,Delhi,Naraina Loha Mandi
28.61858053347592,77.11703529168449,industry,Light_Industry,30.0,5,Delhi,
28.65657383908459,77.14301537623021,industry,Light_Industry,30.0,5,Delhi,DLF Indl Area
28.659614918215976,77.15184462183647,industry,Light_Industry,30.0,5,Delhi,
28.621664293928045,77.33638379846438,industry,Light_Industry,30.0,5,Delhi,Intergrated Freight Complex
28.62078898665857,77.28719445285566,industry,Light_Industry,30.0,5,Delhi,Patparganj Industrial Area
28.640389545200595,77.31102520647681,industry,Light_Industry,30.0,5,Delhi,Patparganj Industrial Area
