station_id,station_name,filename,lat,lon,records,pm25_count,has_pm25,has_no2,has_so2,has_co,has_wind,traffic_exposure,traffic_factor
6932,Alipur Delhi - DPCC,6932_Alipur Delhi - DPCC.csv,28.798,77.133,6458,0,False,False,True,True,True,medium,0.7
6934,Dr Karni Singh Shooting Range Delhi - DPCC,6934_Dr Karni Singh Shooting Range Delhi - DPCC.csv,28.4986,77.264,6485,0,False,True,False,False,True,low,0.4
6936,Arya Nagar Bahadurgarh - HSPCB,6936_Arya Nagar Bahadurgarh - HSPCB.csv,28.692,76.935,1445,0,False,False,False,False,False,medium,0.7
6953,Sector-2 IMT Manesar - HSPCB,6953_Sector-2 IMT Manesar - HSPCB.csv,28.3519,76.9336,1326,0,False,True,False,False,False,medium,0.7
6976,Jai Bhim Nagar Meerut - UPPCB,6976_Jai Bhim Nagar Meerut - UPPCB.csv,28.9845,77.7064,6201,6101,True,False,False,False,True,medium,0.7
6978,Knowledge Park - III Greater Noida - UPPCB,6978_Knowledge Park - III Greater Noida - UPPCB.csv,28.5355,77.391,6488,0,False,False,False,False,True,medium,0.7
6980,Sector-1 Noida - UPPCB,6980_Sector-1 Noida - UPPCB.csv,28.5355,77.391,6463,0,False,True,False,True,True,medium,0.7
6986,Knowledge Park - V Greater Noida - UPPCB,6986_Knowledge Park - V Greater Noida - UPPCB.csv,28.5355,77.391,6561,6535,True,True,False,True,True,medium,0.7
6988,Sector-116 Noida - UPPCB,6988_Sector-116 Noida - UPPCB.csv,28.5355,77.391,5940,5746,True,True,True,True,True,medium,0.7
7005,Loni Ghaziabad - UPPCB,7005_Loni Ghaziabad - UPPCB.csv,28.6692,77.4538,6026,5863,True,False,True,False,True,medium,0.7
7280,Shyam Nagar Palwal - HSPCB,7280_Shyam Nagar Palwal - HSPCB.csv,28.1487,77.332,1237,843,True,False,False,True,False,medium,0.7
8319,Anand Vihar Hapur - UPPCB,8319_Anand Vihar Hapur - UPPCB.csv,28.6469,77.3164,6368,0,False,True,False,True,True,very_high,1.2
8365,Nehru Nagar Delhi - DPCC,8365_Nehru Nagar Delhi - DPCC.csv,28.57,77.25,6525,6507,True,False,True,True,True,medium,0.7
8472,Bawana Delhi - DPCC,8472_Bawana Delhi - DPCC.csv,28.792,77.034,6574,6549,True,False,True,False,True,industrial,0.5
8475,Sonia Vihar Delhi - DPCC,8475_Sonia Vihar Delhi - DPCC.csv,28.7106,77.2494,6530,0,False,True,True,True,True,high,1.0
8915,Wazirpur Delhi - DPCC,8915_Wazirpur Delhi - DPCC.csv,28.6969,77.1653,6551,0,False,False,True,True,True,very_high,1.2
8917,Ashok Vihar Delhi - DPCC,8917_Ashok Vihar Delhi - DPCC.csv,28.6991,77.1724,6509,0,False,False,True,False,True,very_high,1.2
